MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	RAT.ENTREZ.ID	RAT.GENE.NAME	psd	pres	syn
MGI:1261835	52348	Vps37a	137492	VPS37A	290775	Vps37a	0	0	1
MGI:891964	24127	Xrn1	54464	XRN1	300944	Xrn1	0	0	1
MGI:1913762	232449	Dera	51071	DERA	690945	Dera	0	1	0
MGI:1891420	80889	Tlnrd1	59274	TLNRD1	308795	Tlnrd1	0	1	1
MGI:87999	11689	Alox5	240	ALOX5	25290	Alox5	0	1	0
MGI:2661081	269275	Acvr1c	130399	ACVR1C	245921	Acvr1c	0	0	1
MGI:2179942	237360	Adamts14	140766	ADAMTS14	309837	Adamts14	0	0	1
MGI:2389008	229595	Adamtsl4	54507	ADAMTSL4	310670	Adamtsl4	0	0	1
MGI:1918244	78933	Agbl4	84871	AGBL4	100911395	Agbl4	0	0	1
MGI:1277186	11793	Atg5	9474	ATG5	365601	Ag5	0	0	1
MGI:1924415	242341	Atp6v0d2	245972	ATP6V0D2	297932	Atp6v0d2	0	0	1
MGI:1099442	110616	Atxn3	4287	ATXN3	60331	Atxn3	0	0	1
MGI:1928380	56386	B4galt6	9331	B4GALT6	65196	B4galt6	0	0	1
MGI:2443738	217887	Clba1	122616	CLBA1	362793	Clba1	0	0	1
MGI:2182335	252966	Cables2	81928	CABLES2	311703	Cables2	0	0	1
MGI:2444177	320508	Cachd1	57685	CACHD1	298267	Cachd1	0	0	1
MGI:1920566	73316	Calr3	125972	CALR3	364529	Calr3	0	0	1
MGI:1924308	77058	Ccdc183	84960	CCDC183	499754	Ccdc183	0	0	1
MGI:2388267	212733	Bicdl2	146439	BICDL2	302964	Bicdl2	0	0	1
MGI:2685723	380694	Ccnjl	79616	CCNJL	303059	Ccnjl	0	0	1
MGI:96534	16149	Cd74	972	CD74	25599	Cd74	0	0	1
MGI:1919141	71891	Cdadc1	81602	CDADC1	361052	Cdadc1	0	0	1
MGI:1919979	72729	Cdc42se2	56990	CDC42SE2	691031	Cdc42se2	0	0	1
MGI:1921703	74453	Cfap53	220136	CFAP53	364899	Cfap53	0	0	1
MGI:1202065	12649	Chek1	1111	CHEK1	140583	Chek1	0	0	1
MGI:106580	52846	Cnot11	55571	CNOT11	363221	Cnot11	0	0	1
MGI:1861602	54188	Cpsf4	10898	CPSF4	304277	Cpsf4	0	0	1
MGI:1336168	12905	Crradd	8738	CRADD	314756	Cradd	0	0	1
MGI:1891221	56693	Crtap	10491	CRTAP	363158	Crtap	0	0	1
MGI:2144281	103841	Cuedc1	404093	CUEDC1	303419	Cuedc1	0	0	1
MGI:88594	104086	Cyp27a1	1593	CYP27A1	301517	Cyp27a1	0	0	1
MGI:88609	13112	Cyp3a11	1577	CYP3A5	266682	Cyp3a2	0	0	1
MGI:1919005	71755	Dhdh	27294	DHDH	691002	Dhdh	0	0	1
MGI:109196	13643	Efnb3	1949	EFNB3	360546	Efnb3	0	0	1
MGI:1932286	112405	Egln1	54583	EGLN1	308913	Egln1	0	0	1
NA	NA	NA	441282	AKR1B15	NA	NA	0	0	1
NA	NA	NA	304	ANXA2P2	NA	NA	0	0	1
MGI:1341830	13666	Eif2ak3	9451	EIF2AK3	29702	Eif2ak3	0	0	1
MGI:103006	226352	Epb41l5	57669	EPB41L5	304733	Epb41l5	0	0	1
MGI:107898	28042	Selenoi	85465	SELENOI	362713	Selenoi	0	0	1
MGI:1918686	71436	Flrt3	23767	FLRT3	366205	Flrt3	0	0	1
MGI:1098566	71683	Gypc	2995	GYPC	364837	Gypc	0	0	1
MGI:1351670	27400	Hsd17b6	8630	HSD17B6	286964	Hsd17b6	0	0	1
NA	NA	NA	7190	HSP90B2P	NA	NA	0	0	1
MGI:96273	15550	Htr1a	3350	HTR1A	24473	Htr1a	0	0	1
MGI:96439	16010	Igfbp4	3487	IGFBP4	360622	Igfbp4	0	0	1
NA	NA	NA	3501	IGHG2	NA	NA	0	0	1
NA	NA	NA	3134	HLA-F	NA	NA	0	0	1
NA	NA	NA	28896	IGKV1D-33	NA	NA	0	0	1
MGI:1338074	16151	Ikbkg	8517	IKBKG	309295	Ikbkg	0	0	1
MGI:109235	320404	Itpkb	3707	ITPKB	54260	Itpkb	0	0	1
MGI:1916399	69149	Kbtbd3	143879	KBTBD3	315394	Kbtbd3	0	0	1
MGI:3643121	622320	Kctd21	283219	KCTD21	499209	Kctd21	0	0	1
MGI:2140475	100317	AU040320	79932	KIAA0319L	NA	NA	0	0	1
MGI:1921450	74200	Khdc4	22889	KHDC4	361980	Khdc4	0	0	1
MGI:96820	16956	Lpl	4023	LPL	24539	Lpl	0	0	1
MGI:2445060	223664	Lrrc14	9684	LRRC14	500900	Lrrc14	0	0	1
MGI:1096324	16988	Lst1	7940	LST1	64569	Lst1	0	0	1
MGI:1346345	23938	Map2k5	5607	MAP2K5	29568	Map2k5	0	0	1
MGI:1918252	108797	Mex3b	84206	MEX3B	308790	Mex3b	0	0	1
MGI:1915544	68294	Mfsd10	10227	MFSD10	305449	Mfsd10	0	0	1
MGI:2448481	211666	Mgst2	4258	MGST2	295037	Mgst2	0	0	1
MGI:1891836	59030	Mkks	8195	MKKS	311456	Mkks	0	0	1
MGI:1922354	75104	Mmd2	221938	MMD2	304301	Mmd2	0	0	1
MGI:3584273	613262	BC029722	101410538	MMP24OS	117903915	Mmp24os	0	0	1
MGI:1921582	59012	Moxd1	26002	MOXD1	294119	Moxd1	0	0	1
MGI:102495	17722	mt-Nd6	4541	MT-ND6	26203	mt-Nd6	0	0	1
MGI:1922259	70646	Naa30	122830	NAA30	498489	Naa30	0	0	1
MGI:96298	15586	Hyal1	3373	HYAL1	367166	Hyal1	0	0	1
MGI:1355305	50877	Neu3	10825	NEU3	117185	Neu3	0	0	1
MGI:1859333	54446	Nfat5	10725	NFAT5	307820	Nfat5	0	0	1
MGI:2441684	319211	Nol4	8715	NOL4	307553	Nol4	0	0	1
MGI:1925542	109305	Orai1	84876	ORAI1	304496	Orai1	0	0	1
MGI:2443195	269717	Orai2	80228	ORAI2	304592	Orai2	0	0	1
MGI:1921700	74450	Pank2	80025	PANK2	296167	Pank2	0	0	1
MGI:1926178	78928	Pigt	51604	PIGT	296360	Pigt	0	0	1
MGI:1928144	83436	Plekha2	59339	PLEKHA2	684785	Plekha2	0	0	1
MGI:1929709	57435	Plin4	729359	PLIN4	363331	Plin4	0	0	1
MGI:1298382	18824	Plp2	5355	PLP2	302562	Plp2	0	0	1
MGI:108412	19012	Plpp1	8611	PLPP1	64369	Plpp1	0	0	1
MGI:2143267	235527	Plscr4	57088	PLSCR4	300900	Plscr4	0	0	1
MGI:2180564	70481	Pnma1	9240	PNMA1	170636	Pnma1	0	0	1
MGI:1336167	19079	Prkab1	5564	PRKAB1	83803	Prkab1	0	0	1
NA	NA	NA	5568	PRKACG	NA	NA	0	0	1
MGI:97797	19224	Ptgs1	5742	PTGS1	24693	Ptgs1	0	0	1
MGI:2145430	218232	Ptpdc1	138639	PTPDC1	291022	Ptpdc1	0	0	1
MGI:1914907	67657	Rabl3	285282	RABL3	360720	Rabl3	0	0	1
MGI:1339939	19891	Rpa2	6118	RPA2	59102	Rpa2	0	0	1
NA	NA	NA	100529239	RPS10-NUDT3	NA	NA	0	0	1
MGI:2429762	216724	Rufy1	80230	RUFY1	360521	Rufy1	0	0	1
MGI:1339468	20194	S100a10	6281	S100A10	81778	S100a10	0	0	1
MGI:98221	20208	Saa1	6288	SAA1	NA	NA	0	0	1
MGI:1917604	70354	Secisbp2l	9728	SECISBP2L	296115	Secisbp2l	0	0	1
MGI:2443596	320213	Senp5	205564	SENP5	103689978	Senp5	0	0	1
MGI:108111	20517	Slc22a1	6580	SLC22A1	24904	Slc22a1	0	0	1
NA	NA	NA	147407	SLC25A52	305365	Slc25a52	0	0	1
MGI:1927073	63959	Slc29a1	2030	SLC29A1	63997	Slc29a1	0	0	1
MGI:1928369	56485	Slc2a5	6518	SLC2A5	65197	Slc2a5	0	0	1
MGI:1333843	20529	Slc31a1	1317	SLC31A1	171135	Slc31a1	0	0	1
MGI:894293	17128	Smad4	4089	SMAD4	50554	Smad4	0	0	1
MGI:98371	20682	Sox9	6662	SOX9	140586	Sox9	0	0	1
MGI:1099431	268656	Sptlc1	10558	SPTLC1	361213	Sptlc1	0	0	1
MGI:1923880	76630	Stambpl1	57559	STAMBPL1	687696	Stambpl1	0	0	1
NA	NA	NA	8677	STX10	NA	NA	0	0	1
MGI:1915722	68472	Tmem126b	55863	TMEM126B	ID: 293114	Tmem126b	0	0	1
MGI:1924356	77106	Tmem181a	57583	TMEM181	502228	Tmem181	0	0	1
MGI:1341090	21933	Tnfrsf10b	8795	TNFRSF10B	364420	Tnfrsf10b	0	0	1
MGI:109528	22063	Trpc1	7220	TRPC1	89821	Trpc1	0	0	1
MGI:1914525	58188	Vstm2b	342865	VSTM2B	361560	Vstm2b	0	0	1
MGI:2682302	223773	Zbed4	9889	ZBED4	315211	Zbed4	0	0	1
MGI:2653229	224454	Zdhhc14	79683	ZDHHC14	499014	Zdhhc14	0	0	1
NA	NA	NA	155054	ZNF425	NA	NA	0	0	1
NA	NA	NA	828	CAPS	120094827	Caps	0	0	1
MGI:1915485	68235	Mturn	222166	MTURN	297109	Mturn	0	0	1
NA	NA	NA	646817	SETSIP	307947	Setsip	0	0	1
MGI:1925915	224703	Marchf2	51257	MARCHF2	362849	Marchf2	0	0	1
MGI:98320	625018	C4a	720	C4A	24233	C4a	0	0	1
MGI:3651714	625328	H3f3c	440093	H3-5	100360868	H3f3c	0	0	1
NA	NA	NA	3106	HLA-B	NA	NA	0	0	1
MGI:96600	16398	Itga2	3673	ITGA2	170921	Itga2	0	0	1
MGI:2687194	381493	S100a7a	6278	S100A7	NA	NA	0	0	1
MGI:2675859	218914	Wapl	23063	WAPL	290577	Wapl	0	0	1
MGI:2448355	15077	H3c14	653604	H3C13	NA	NA	0	0	1
MGI:2448320	319148	H3c3	8352	H3C3	NA	NA	0	0	1
MGI:2448322	319149	H3c4	8351	H3C4	NA	NA	0	0	1
MGI:2448319	319150	H3c2	8358	H3C2	NA	NA	0	0	1
MGI:2448326	319151	H3c6	8353	H3C6	NA	NA	0	0	1
MGI:2448351	319154	H3c13	653604	H3C13	684762	H3c13	0	0	1
MGI:2448349	319152	H3c10	8357	H3C10	NA	NA	0	0	1
MGI:2448350	319153	H3c11	8354	H3C11	NA	NA	0	0	1
MGI:1333876	19051	Ppp1r17	10842	PPP1R17	266705	Ppp1r17	0	0	1
MGI:1913129	60365	Rbm8a	9939	RBM8A	295284	Rbm8a	0	0	1
MGI:1343094	18519	Kat2b	8850	KAT2B	301164	Kat2b	0	0	1
MGI:1924337	77087	Ankrd11	29123	ANKRD11	365023	Ankrd11	0	0	1
MGI:1933114	80288	Bcl9l	283149	BCL9L	300673	Bcl9l	0	0	1
MGI:1934816	104271	Tex15	56154	TEX15	290803	Tex15	0	0	1
MGI:95794	14725	Lrp2	4036	LRP2	29216	Lrp2	0	0	1
MGI:2685815	381229	Sfap58	159686	SFAP58	102553148	Sfap58	0	0	1
MGI:1926021	78771	Mctp1	79772	MCTP1	309928	Mctp1	0	0	1
MGI:106035	17345	Mki67	4288	MKI67	291234	Mki67	0	0	1
MGI:2155399	77782	Polq	10721	POLQ	288079	Polq	0	0	1
MGI:1921384	74134	Cyp2s1	29785	CYP2S1	308445	Cyp2s1	0	0	1
MGI:1918526	71276	Ccdc57	284001	CCDC57	688324	Ccdc57	0	0	1
MGI:1921407	74157	Cmtr1	23070	CMTR1	309656	Cmtr1	0	0	1
MGI:2384823	211577	Mrgprf	116535	MRGPRF	266762	Mrgprf	0	0	1
MGI:1914552	67302	Zc3h13	23091	ZC3H13	305955	Zc3h13	0	0	1
MGI:1920180	72930	Ppp2r2b	5521	PPP2R2B	60660	Ppp2r2b	0	0	1
MGI:1914228	66978	Luc7l	55692	LUC7L	360503	Luc7l	0	0	1
MGI:97311	18032	Nfix	4784	NFIX	81524	Nfix	0	0	1
MGI:2448567	244059	Chd2	1106	CHD2	308738	Chd2	0	0	1
MGI:107732	432516	Myo1a	4640	MYO1A	299509	Myo1a	0	0	1
MGI:2140494	100336	Ppp1r8	5511	PPP1R8	313030	Ppp1r8	0	0	1
MGI:1918463	71213	Cage1	285782	CAGE1	306872	Cage1	0	0	1
MGI:1345142	24010	Ik	3550	IK	291659	Ik	0	0	1
MGI:107465	18796	Plcb2	5330	PLCB2	85240	Plcb2	0	0	1
MGI:1355315	50875	Tmod3	29766	TMOD3	300838	Tmod3	0	0	1
MGI:192289	75646	Rai14	26064	RAI14	294804	Rai14	0	0	1
MGI:1927347	57376	Smarce1	6605	SMARCE1	303518	Smarce1	0	0	1
MGI:3609653	380969	Nckap5l	57701	NCKAP5L	315297	Nckap5l	0	0	1
MGI:2444243	71751	Map3k13	9175	MAP3K13	303823	Map3k13	0	0	1
MGI:2442313	214345	Lrrc1	55227	LRRC1	367113	Lrrc1	0	0	1
MGI:109372	12419	Cbx5	23468	CBX5	300266	Cbx5	0	0	1
MGI:103188	18028	Nfib	4781	NFIB	29227	Nfib	0	0	1
MGI:2684948	226652	Arhgap30	257106	ARHGAP30	498282	Arhgap30	0	0	1
MGI:2448306	319172	H2ac4	8335	H2AC4	680615	H2ac4	0	0	1
MGI:2444611	320727	Ipo8	10526	IPO8	686774	Ipo8	0	0	1
MGI:88357	12567	Cdk4	1019	CDK4	94201	Cdk4	0	0	1
MGI:96097	15267	H2ac18	8337	H2AC18	690131	Hist2h2aa2	0	0	1
MGI:87926	11529	Adh7	131	ADH7	171178	Adh7	0	0	1
MGI:2385228	231633	Tmem119	338773	TMEM119	304581	Tmem119	0	0	1
MGI:1930765	56395	Tmem115	11070	TMEM115	363136	Tmem115	0	0	1
MGI:2445141	226744	Cnst	163882	CNST	498297	Cnst	0	0	1
MGI:1923987	76737	Creld2	79174	CRELD2	362978	Creld2	0	0	1
MGI:3650048	208820	Triqk	286144	TRIQK	500413	Triqk	0	0	1
MGI:2444559	225724	Mapk4	5596	MAPK4	54268	Mapk4	0	0	1
MGI:1354946	50772	Mapk6	5597	MAPK6	58840	Mapk6	0	0	1
MGI:1913441	66191	Ier3ip1	51124	IER3IP1	500270	Ier3ip1	0	0	1
MGI:95496	14127	Fcer1g	2207	FCER1G	25441	Fcer1g	0	0	1
MGI:1925828	98417	Cnih4	29097	CNIH4	289324	Cnih4	0	0	1
MGI:2443349	231440	Parm1	25849	PARM1	286894	Parm1	0	0	1
MGI:214144	101122	Rpusd3	285367	RPUSD3	362416	Rpusd3	0	0	1
MGI:1289238	52430	Echdc2	55268	ECHDC2	298381	Echdc2	0	0	1
MGI:1913327	66077	Aurkaip1	54998	AURKAIP1	298687	Aurkaip1	0	0	1
MGI:107930	18719	Pip5k1b	8395	PIP5K1B	309419	Pip5k1b	0	0	1
MGI:5295678	100048644	Pet117	100303755	PET117	NA	NA	0	0	1
MGI:104745	20370	Sez6	124925	SEZ6	192247	Sez6	0	0	1
MGI:104992	12960	Crybb1	1414	CRYBB1	25421	Crybb1	0	0	1
MGI:107917	20899	Stra8	346673	STRA8	500079	Stra8	0	0	1
MGI:1343188	22213	Ube2g2	7327	UBE2G2	294331	Ube2g2	0	0	1
MGI:1917019	69769	Tnfaip8l2	79626	TNFAIP8L2	310663	Tnfaip8l2	0	0	1
MGI:1926134	69035	Zdhhc3	51304	ZDHHC3	301081	Zdhhc3	0	0	1
MGI:1353451	11670	Aldh3a1	218	ALDH3A1	25375	Aldh3a1	0	0	1
MGI:1923428	76178	Coa5	493753	COA5	503252	Coa5	0	0	1
MGI:1924143	76893	Cers2	29956	CERS2	310667	Cers2	0	0	1
MGI:1913779	329384	Ptrh1	138428	PTRH1	362113	Ptrh1	0	0	1
MGI:1914799	67549	Gpr89	51463	GPR89B	362003	Gpr89	0	0	1
MGI:2685790	381126	Garem1	64762	GAREM1	679154	Garem1	0	0	1
MGI:104665	20652	Soat1	6646	SOAT1	81782	Soat1	0	0	1
MGI:1891338	56504	Srpk3	26576	SPRK3	293854	Srpk3	0	0	1
MGI:1890648	60530	Fignl1	63979	FIGNL1	289777	Fignl1	0	0	1
MGI:109189	14169	Fgf14	2259	FGF14	63851	Fgf14	0	0	1
MGI:2441702	72318	Cyth4	27128	CYTH4	500906	Cyth4	0	0	1
MGI:1913655	66405	Mcts2	100101490	MCTS2	689500	Mcts2	0	0	1
MGI:96662	16493	Kcna5	3741	KCNA5	25470	Kcna5	0	0	1
MGI:2444527	216871	Gltpd2	388323	GLTPD2	497943	Gltpd2	0	0	1
MGI:1923221	192136	Sugct	79783	SUGCT	361253	Sugct	0	0	1
MGI:1923707	76457	Ccdc134	79879	CCDC134	500909	Ccdc134	0	0	1
MGI:97501	18534	Pck1	5105	PCK1	362282	Pck1	0	0	1
MGI:1347090	26359	Anxa10	11199	ANXA10	498622	Anxa10	0	0	1
MGI:1918093	70843	Krt28	162605	KRT28	360623	Krt28	0	0	1
MGI:96440	16011	Igfbp5	3488	IGFBP5	25285	Igfbp5	0	0	1
MGI:2140804	243168	Hsd17b13	345275	HSD17B13	305150	Hsd17b13	0	0	1
