"GeneID" "MGI" "HumanEntrez" "MouseEntrez" "RatEntrez" "HumanName" "MouseName" "RatName" "Localisation" "Npmid"
"31" 31 "MGI:97597" 5582 18752 24681 "PRKCG" "Prkcg" "Prkcg" "Postsynaptic" 22
"32" 32 "MGI:1306776" 4130 17754 25152 "MAP1A" "Map1a" "Map1a" "Postsynaptic" 21
"33" 33 "MGI:95753" 2746 14661 24399 "GLUD1" "Glud1" "Glud1" "Postsynaptic" 21
"34" 34 "MGI:87994" 226 11674 24189 "ALDOA" "Aldoa" "Aldoa" "Postsynaptic" 21
"35" 35 "MGI:2137706" 87 109711 81634 "ACTN1" "Actn1" "Actn1" "Postsynaptic" 21
"36" 36 "MGI:2388633" 1213 67300 54241 "CLTC" "Cltc" "Cltc" "Postsynaptic" 21
"37" 37 "MGI:99441" 548596 12716 29593 "CKMT1A" "Ckmt1" "Ckmt1" "Postsynaptic" 21
"38" 38 "MGI:95820" 2903 14811 24409 "GRIN2A" "Grin2a" "Grin2a" "Postsynaptic" 22
"39" 39 "MGI:101921" 160 11771 308578 "AP2A1" "Ap2a1" "Ap2a1" "Postsynaptic" 21
"40" 40 "MGI:105976" 4644 17918 25017 "MYO5A" "Myo5a" "Myo5a" "Postsynaptic" 22
"41" 41 "MGI:99667" 6857 20979 25716 "SYT1" "Syt1" "Syt1" "Postsynaptic" 21
"42" 42 "MGI:1341265" 817 108058 24246 "CAMK2D" "Camk2d" "Camk2d" "Postsynaptic" 22
"43" 43 "MGI:95775" 2775 14681 50664 "GNAO1" "Gnao1" "Gnao1" "Postsynaptic" 22
"44" 44 "MGI:1195966" 1501 18163 114028 "CTNND2" "Ctnnd2" "Ctnnd2" "Postsynaptic" 21
"45" 45 "MGI:1930016" 85358 58234 59312 "SHANK3" "Shank3" "Shank3" "Postsynaptic" 22
"46" 46 "MGI:107231" 1739 13383 25252 "DLG1" "Dlg1" "Dlg1" "Postsynaptic" 22
"47" 47 "MGI:95640" 2597 14433 24383 "GAPDH" "Gapdh" "Gapdh" "Postsynaptic" 20
"48" 48 "MGI:1933179" 80725 56013 56029 "SRCIN1" "Srcin1" "Srcin1" "Postsynaptic" 20
"49" 49 "MGI:107363" 6812 20910 25558 "STXBP1" "Stxbp1" "Stxbp1" "Postsynaptic" 20
"50" 50 "MGI:97623" 5354 18823 24943 "PLP1" "Plp1" "Plp1" "Postsynaptic" 21
"51" 51 "MGI:95810" 2892 53623 29628 "GRIA3" "Gria3" "Gria3" "Postsynaptic" 21
"52" 52 "MGI:107384" 1759 13429 140694 "DNM1" "Dnm1" "Dnm1" "Postsynaptic" 21
"53" 53 "MGI:102788" 22895 19894 171039 "RPH3A" "Rph3a" "Rph3a" "Postsynaptic" 20
"54" 54 "MGI:87918" 118 11518 24170 "ADD1" "Add1" "Add1" "Postsynaptic" 20
"55" 55 "MGI:103016" 5499 19045 24668 "PPP1CA" "Ppp1ca" "Ppp1ca" "Postsynaptic" 20
"56" 56 "MGI:1099446" 11346 104027 60324 "SYNPO" "Synpo" "Synpo" "Postsynaptic" 20
"57" 57 "MGI:2685385" 8997 545156 84009 "KALRN" "Kalrn" "Kalrn" "Postsynaptic" 21
"58" 58 "MGI:106222" 830 12343 493810 "CAPZA2" "Capza2" "Capza2" "Postsynaptic" 20
"59" 59 "MGI:2676665" 57554 242274 117284 "LRRC7" "Lrrc7" "Lrrc7" "Postsynaptic" 21
"60" 60 "MGI:2671987" 22941 210274 171093 "SHANK2" "Shank2" "Shank2" "Postsynaptic" 21
"61" 61 "MGI:88276" 1499 12387 84353 "CTNNB1" "Ctnnb1" "Ctnnb1" "Postsynaptic" 21
"62" 62 "MGI:96925" 4155 17196 24547 "MBP" "Mbp" "Mbp" "Postsynaptic" 19
"63" 63 "MGI:104652" 832 12345 298584 "CAPZB" "Capzb" "Capzb" "Postsynaptic" 19
"64" 64 "MGI:1096317" 1917 13628 24799 "EEF1A2" "Eef1a2" "Eef1a2" "Postsynaptic" 19
"65" 65 "MGI:1923864" 10989 76614 312444 "IMMT" "Immt" "Immt" "Postsynaptic" 20
"66" 66 "MGI:97175" 4133 17756 25595 "MAP2" "Map2" "Map2" "Postsynaptic" 19
"67" 67 "MGI:1201780" 523 11964 685232 "ATP6V1A" "Atp6v1a" "Atp6v1a" "Postsynaptic" 19
"68" 68 "MGI:88107" 478 232975 24213 "ATP1A3" "Atp1a3" "Atp1a3" "Postsynaptic" 20
"69" 69 "MGI:97435" 4340 17441 24558 "MOG" "Mog" "Mog" "Postsynaptic" 19
"70" 70 "MGI:1349763" 1808 12934 25416 "DPYSL2" "Dpysl2" "Dpysl2" "Postsynaptic" 19
"71" 71 "MGI:1924134" 26999 76884 303073 "CYFIP2" "Cyfip2" "Cyfip2" "Postsynaptic" 19
"72" 72 "MGI:2387581" 84687 217124 84686 "PPP1R9B" "Ppp1r9b" "Ppp1r9b" "Postsynaptic" 19
"73" 73 "MGI:1335094" 989 235072 64551 "SEPTIN7" "Septin7" "Septin7" "Postsynaptic" 19
"74" 74 "MGI:109484" 7534 22631 25578 "YWHAZ" "Ywhaz" "Ywhaz" "Postsynaptic" 20
"75" 75 "MGI:2152971" 22999 116837 84556 "RIMS1" "Rims1" "Rims1" "Postsynaptic" 19
"76" 76 "MGI:103079" 5813 19290 307498 "PURA" "Pura" "Pura" "Postsynaptic" 19
"77" 77 "MGI:103147" 1778 13424 29489 "DYNC1H1" "Dync1h1" "Dync1h1" "Postsynaptic" 19
"78" 78 "MGI:88025" 287 109676 362036 "ANK2" "Ank2" "Ank2" "Postsynaptic" 19
"79" 79 "MGI:1930780" 4628 77579 79433 "MYH10" "Myh10" "Myh10" "Postsynaptic" 19
"80" 80 "MGI:1926334" 5518 51792 117281 "PPP2R1A" "Ppp2r1a" "Ppp2r1a" "Postsynaptic" 19
"81" 81 "MGI:1196356" 9922 232227 686590 "IQSEC1" "Iqsec1" "Iqsec1" "Postsynaptic" 20
"82" 82 "MGI:3528396" 23096 245666 685244 "IQSEC2" "Iqsec2" "Iqsec2" "Postsynaptic" 20
"83" 83 "MGI:1306778" 4131 17755 29456 "MAP1B" "Map1b" "Map1b" "Postsynaptic" 18
"84" 84 "MGI:1355335" 29767 50876 58814 "TMOD2" "Tmod2" "Tmod2" "Postsynaptic" 18
"85" 85 "MGI:87919" 119 11519 24171 "ADD2" "Add2" "Add2" "Postsynaptic" 18
"86" 86 "MGI:106922" 7419 22335 83532 "VDAC3" "Vdac3" "Vdac3" "Postsynaptic" 19
"87" 87 "MGI:106915" 7417 22334 83531 "VDAC2" "Vdac2" "Vdac2" "Postsynaptic" 19
"88" 88 "MGI:95713" 2697 14609 24392 "GJA1" "Gja1" "Gja1" "Postsynaptic" 18
"89" 89 "MGI:102520" 11331 12034 114766 "PHB2" "Phb2" "Phb2" "Postsynaptic" 18
"90" 90 "MGI:1915517" 79751 68267 309111 "SLC25A22" "Slc25a22" "Slc25a22" "Postsynaptic" 18
"91" 91 "MGI:101757" 1072 12631 29271 "CFL1" "Cfl1" "Cfl1" "Postsynaptic" 18
"92" 92 "MGI:2137679" 81855 94280 65042 "SFXN3" "Sfxn3" "Sfxn3" "Postsynaptic" 18
"93" 93 "MGI:109618" 526 11966 117596 "ATP6V1B2" "Atp6v1b2" "Atp6v1b2" "Postsynaptic" 18
"94" 94 "MGI:88115" 498 11946 65262 "ATP5A1" "Atp5a1" "Atp5f1a" "Postsynaptic" 19
"95" 95 "MGI:98869" 7846 22142 64158 "TUBA1A" "Tuba1a" "Tuba1a" "Postsynaptic" 18
"96" 96 "MGI:106919" 7416 22333 83529 "VDAC1" "Vdac1" "Vdac1" "Postsynaptic" 19
"97" 97 "MGI:1890773" 81 60595 63836 "ACTN4" "Actn4" "Actn4" "Postsynaptic" 18
"98" 98 "MGI:88259" 818 12325 171140 "CAMK2G" "Camk2g" "Camk2g" "Postsynaptic" 19
"99" 99 "MGI:103008" 23136 13823 116724 "EPB41L3" "Epb41l3" "Epb41l3" "Postsynaptic" 18
"100" 100 "MGI:1924781" 56899 77531 314721 "ANKS1B" "Anks1b" "Anks1b" "Postsynaptic" 18
"101" 101 "MGI:1919020" 163 71770 140670 "AP2B1" "Ap2b1" "Ap2b1" "Postsynaptic" 18
"102" 102 "MGI:107717" 4627 17886 100911597 "MYH9" "Myh9" "Myh9" "Postsynaptic" 18
"103" 103 "MGI:109194" 7533 22629 25576 "YWHAH" "Ywhah" "Ywhah" "Postsynaptic" 19
"104" 104 "MGI:104872" 5501 19047 24669 "PPP1CC" "Ppp1cc" "Ppp1cc" "Postsynaptic" 17
"105" 105 "MGI:1891917" 7529 54401 56011 "YWHAB" "Ywhab" "Ywhab" "Postsynaptic" 19
"106" 106 "MGI:101920" 161 11772 81637 "AP2A2" "Ap2a2" "Ap2a2" "Postsynaptic" 18
"107" 107 "MGI:104753" 23114 269116 116690 "NFASC" "Nfasc" "Nfasc" "Postsynaptic" 18
"108" 108 "MGI:97309" 4744 380684 24587 "NEFH" "Nefh" "Nefh" "Postsynaptic" 18
"109" 109 "MGI:1931838" 1627 56320 81653 "DBN1" "Dbn1" "Dbn1" "Postsynaptic" 18
"110" 110 "MGI:108559" 23499 11426 362587 "MACF1" "Macf1" "Macf1" "Postsynaptic" 18
"111" 111 "MGI:1890563" 8936 83767 294568 "WASF1" "Wasf1" "Wasf1" "Postsynaptic" 18
"112" 112 "MGI:88275" 1496 12386 297357 "CTNNA2" "Ctnna2" "Ctnna2" "Postsynaptic" 18
"113" 113 "MGI:99516" 7143 21960 25567 "TNR" "Tnr" "Tnr" "Postsynaptic" 18
"114" 114 "MGI:96247" 3326 15516 301252 "HSP90AB1" "Hsp90ab1" "Hsp90ab1" "Postsynaptic" 18
"115" 115 "MGI:1194500" 3983 226251 307989 "ABLIM1" "Ablim1" "Ablim1" "Postsynaptic" 18
"116" 116 "MGI:891963" 10971 22630 25577 "YWHAQ" "Ywhaq" "Ywhaq" "Postsynaptic" 19
"117" 117 "MGI:97845" 5879 19353 363875 "RAC1" "Rac1" "Rac1" "Postsynaptic" 18
"118" 118 "MGI:1861691" 9211 56839 252892 "LGI1" "Lgi1" "Lgi1" "Postsynaptic" 19
"119" 119 "MGI:107793" 1400 12933 25415 "CRMP1" "Crmp1" "Crmp1" "Postsynaptic" 18
"120" 120 "MGI:97760" 5577 19088 24679 "PRKAR2B" "Prkar2b" "Prkar2b" "Postsynaptic" 18
"121" 121 "MGI:1353496" 292 11740 25176 "SLC25A5" "Slc25a5" "Slc25a5" "Postsynaptic" 18
"122" 122 "MGI:1349390" 27445 26875 56768 "PCLO" "Pclo" "Pclo" "Postsynaptic" 17
"123" 123 "MGI:97050" 4191 17448 81829 "MDH2" "Mdh2" "Mdh2" "Postsynaptic" 17
"124" 124 "MGI:1298405" 1173 11773 116563 "AP2M1" "Ap2m1" "Ap2m1" "Postsynaptic" 18
"125" 125 "MGI:2667185" 399687 360013 360570 "MYO18A" "Myo18a" "Myo18a" "Postsynaptic" 17
"126" 126 "MGI:1891833" 5214 56421 60416 "PFKP" "Pfkp" "Pfkp" "Postsynaptic" 17
"127" 127 "MGI:97572" 5245 18673 25344 "PHB" "Phb" "Phb" "Postsynaptic" 17
"128" 128 "MGI:95697" 2670 14580 24387 "GFAP" "Gfap" "Gfap" "Postsynaptic" 17
"129" 129 "MGI:98331" 6616 20614 25012 "SNAP25" "Snap25" "Snap25" "Postsynaptic" 17
"130" 130 "MGI:101863" 230 11676 24191 "ALDOC" "Aldoc" "Aldoc" "Postsynaptic" 17
"131" 131 "MGI:107801" 506 11947 171374 "ATP5B" "Atp5b" "Atp5f1b" "Postsynaptic" 17
"132" 132 "MGI:109318" 4637 17904 685867 "MYL6" "Myl6" "Myl6" "Postsynaptic" 17
"133" 133 "MGI:1860139" 2550 54393 81657 "GABBR1" "Gabbr1" "Gabbr1" "Postsynaptic" 17
"134" 134 "MGI:95835" 3309 14828 25617 "HSPA5" "Hspa5" "Hspa5" "Postsynaptic" 17
"135" 135 "MGI:88106" 477 98660 24212 "ATP1A2" "Atp1a2" "Atp1a2" "Postsynaptic" 17
"136" 136 "MGI:101931" 6506 20511 29482 "SLC1A2" "Slc1a2" "Slc1a2" "Postsynaptic" 17
"137" 137 "MGI:1201778" 9114 11972 291969 "ATP6V0D1" "Atp6v0d1" "Atp6v0d1" "Postsynaptic" 17
"138" 138 "MGI:1915472" 10383 227613 296554 "TUBB4B" "Tubb4b" "Tubb4b" "Postsynaptic" 17
"139" 139 "MGI:1353498" 5250 18674 245959 "SLC25A3" "Slc25a3" "Slc25a3" "Postsynaptic" 18
"140" 140 "MGI:88108" 481 11931 25650 "ATP1B1" "Atp1b1" "Atp1b1" "Postsynaptic" 17
"141" 141 "MGI:109192" 88 11472 291245 "ACTN2" "Actn2" "Actn2" "Postsynaptic" 17
"142" 142 "MGI:88105" 476 11928 24211 "ATP1A1" "Atp1a1" "Atp1a1" "Postsynaptic" 17
"143" 143 "MGI:1915339" 10093 68089 297518 "ARPC4" "Arpc4" "Arpc4" "Postsynaptic" 17
"144" 144 "MGI:1330861" 9201 13175 83825 "DCLK1" "Dclk1" "Dclk1" "Postsynaptic" 17
"145" 145 "MGI:1201690" 4135 17760 29457 "MAP6" "Map6" "Map6" "Postsynaptic" 17
"146" 146 "MGI:105980" 1272 12805 117258 "CNTN1" "Cntn1" "Cntn1" "Postsynaptic" 17
"147" 147 "MGI:2442952" 57524 268932 140722 "CASKIN1" "Caskin1" "Caskin1" "Postsynaptic" 17
"148" 148 "MGI:1354961" 8867 104015 85238 "SYNJ1" "Synj1" "Synj1" "Postsynaptic" 17
"149" 149 "MGI:88355" 1000 12558 83501 "CDH2" "Cdh2" "Cdh2" "Postsynaptic" 17
"150" 150 "MGI:2661175" 22866 245684 59322 "CNKSR2" "Cnksr2" "Cnksr2" "Postsynaptic" 17
"151" 151 "MGI:894689" 7531 22627 29753 "YWHAE" "Ywhae" "Ywhae" "Postsynaptic" 17
"152" 152 "MGI:99917" 6507 20512 29483 "SLC1A3" "Slc1a3" "Slc1a3" "Postsynaptic" 17
"153" 153 "MGI:97749" 5478 268373 25518 "PPIA" "Ppia" "Ppia" "Postsynaptic" 17
"154" 154 "MGI:108109" 7532 22628 56010 "YWHAG" "Ywhag" "Ywhag" "Postsynaptic" 18
"155" 155 "MGI:1355333" 10787 50884 58823 "NCKAP1" "Nckap1" "Nckap1" "Postsynaptic" 17
"156" 156 "MGI:2443181" 9228 244310 116681 "DLGAP2" "Dlgap2" "Dlgap2" "Postsynaptic" 18
"157" 157 "MGI:97596" 5579 18751 25023 "PRKCB" "Prkcb" "Prkcb" "Postsynaptic" 17
"158" 158 "MGI:107164" 5530 19055 24674 "PPP3CA" "Ppp3ca" "Ppp3ca" "Postsynaptic" 17
"159" 159 "MGI:1346858" 5594 26413 116590 "MAPK1" "Mapk1" "Mapk1" "Postsynaptic" 17
"160" 160 "MGI:95811" 2893 14802 29629 "GRIA4" "Gria4" "Gria4" "Postsynaptic" 17
"161" 161 "MGI:1350917" 6188 27050 140654 "RPS3" "Rps3" "Rps3" "Postsynaptic" 16
"162" 162 "MGI:1914253" 7385 67003 293448 "UQCRC2" "Uqcrc2" "Uqcrc2" "Postsynaptic" 16
"163" 163 "MGI:1927234" 8802 56451 114597 "SUCLG1" "Suclg1" "Suclg1" "Postsynaptic" 16
"164" 164 "MGI:87870" 38 110446 25014 "ACAT1" "Acat1" "Acat1" "Postsynaptic" 16
"165" 165 "MGI:1278344" 8508 18082 360971 "NIPSNAP1" "Nipsnap1" "Nipsnap1" "Postsynaptic" 16
"166" 166 "MGI:95780" 2781 14687 25740 "GNAZ" "Gnaz" "Gnaz" "Postsynaptic" 16
"167" 167 "MGI:1096385" 63827 12032 25393 "BCAN" "Bcan" "Bcan" "Postsynaptic" 16
"168" 168 "MGI:2443241" 4719 227197 301458 "NDUFS1" "Ndufs1" "Ndufs1" "Postsynaptic" 16
"169" 169 "MGI:1926080" 8604 78830 362145 "SLC25A12" "Slc25a12" "Slc25a12" "Postsynaptic" 16
"170" 170 "MGI:97548" 5213 18642 65152 "PFKM" "Pfkm" "Pfkm" "Postsynaptic" 16
"171" 171 "MGI:109486" 7001 21672 29338 "PRDX2" "Prdx2" "Prdx2" "Postsynaptic" 16
"172" 172 "MGI:98002" 6136 269261 499782 "RPL12" "Rpl12" "Rpl12" "Postsynaptic" 16
"173" 173 "MGI:2138865" 22839 228836 286930 "DLGAP4" "Dlgap4" "Dlgap4" "Postsynaptic" 17
"174" 174 "MGI:103064" 1654 13205 317335 "DDX3X" "Ddx3x" "Ddx3x" "Postsynaptic" 16
"175" 175 "MGI:108390" 3796 16563 84391 "KIF2A" "Kif2a" "Kif2a" "Postsynaptic" 16
"176" 176 "MGI:98386" 6709 20740 64159 "SPTAN1" "Sptan1" "Sptan1" "Postsynaptic" 16
"177" 177 "MGI:1923959" 10109 76709 301511 "ARPC2" "Arpc2" "Arpc2" "Postsynaptic" 16
"178" 178 "MGI:1920198" 11076 72948 361466 "TPPP" "Tppp" "Tppp" "Postsynaptic" 16
"179" 179 "MGI:107745" 1639 13191 29167 "DCTN1" "Dctn1" "Dctn1" "Postsynaptic" 16
"180" 180 "MGI:1096881" 1915 13627 171361 "EEF1A1" "Eef1a1" "Eef1a1" "Postsynaptic" 16
"181" 181 "MGI:109602" 10243 268566 64845 "GPHN" "Gphn" "Gphn" "Postsynaptic" 17
"182" 182 "MGI:1917723" 11069 56508 252857 "RAPGEF4" "Rapgef4" "Rapgef4" "Postsynaptic" 16
"183" 183 "MGI:3580016" 116986 216439 65218 "AGAP2" "Agap2" "Agap2" "Postsynaptic" 16
"184" 184 "MGI:95288" 1938 13629 29565 "EEF2" "Eef2" "Eef2" "Postsynaptic" 16
"185" 185 "MGI:97815" 5802 19280 25529 "PTPRS" "Ptprs" "Ptprs" "Postsynaptic" 16
"186" 186 "MGI:2444630" 23312 235380 315676 "DMXL2" "Dmxl2" "Dmxl2" "Postsynaptic" 16
"187" 187 "MGI:88026" 288 11735 361833 "ANK3" "Ank3" "Ank3" "Postsynaptic" 16
"188" 188 "MGI:1923749" 23122 76499 114514 "CLASP2" "Clasp2" "Clasp2" "Postsynaptic" 16
"189" 189 "MGI:1858201" 8506 53321 84008 "CNTNAP1" "Cntnap1" "Cntnap1" "Postsynaptic" 16
"190" 190 "MGI:96245" 3313 15526 291671 "HSPA9" "Hspa9" "Hspa9" "Postsynaptic" 16
"191" 191 "MGI:104913" 10006 11308 79249 "ABI1" "Abi1" "Abi1" "Postsynaptic" 16
"192" 192 "MGI:1927140" 28964 216963 83709 "GIT1" "Git1" "Git1" "Postsynaptic" 16
"193" 193 "MGI:1355329" 50488 50932 303259 "MINK1" "Mink1" "Mink1" "Postsynaptic" 16
"194" 194 "MGI:1931882" 10294 56445 84026 "DNAJA2" "Dnaja2" "Dnaja2" "Postsynaptic" 16
"195" 195 "MGI:103010" 2036 13821 59317 "EPB41L1" "Epb41l1" "Epb41l1" "Postsynaptic" 16
"196" 196 "MGI:3051532" 23025 382018 64829 "UNC13A" "Unc13a" "Unc13a" "Postsynaptic" 16
"197" 197 "MGI:1929260" 23788 56428 295922 "MTCH2" "Mtch2" "Mtch2" "Postsynaptic" 15
"198" 198 "MGI:1929461" 22859 330814 65096 "ADGRL1" "Adgrl1" "Adgrl1" "Postsynaptic" 15
"199" 199 "MGI:98797" 7167 21991 24849 "TPI1" "Tpi1" "Tpi1" "Postsynaptic" 15
"200" 200 "MGI:97180" 4137 17762 29477 "MAPT" "Mapt" "Mapt" "Postsynaptic" 15
"201" 201 "MGI:1888939" 23157 56526 691335 "SEPTIN6" "Septin6" "Septin6" "Postsynaptic" 15
"202" 202 "MGI:98166" 6202 20116 65136 "RPS8" "Rps8" "Rps8" "Postsynaptic" 15
"203" 203 "MGI:104518" 6900 21367 25356 "CNTN2" "Cntn2" "Cntn2" "Postsynaptic" 15
"204" 204 "MGI:894310" 23176 20362 303135 "SEPTIN8" "Septin8" "Septin8" "Postsynaptic" 15
"205" 205 "MGI:103286" 535 11975 29757 "ATP6V0A1" "Atp6v0a1" "Atp6v0a1" "Postsynaptic" 15
"206" 206 "MGI:894326" 529 11973 297566 "ATP6V1E1" "Atp6v1e1" "Atp6v1e1" "Postsynaptic" 15
"207" 207 "MGI:1928370" 391 56212 308875 "RHOG" "Rhog" "Rhog" "Postsynaptic" 15
"208" 208 "MGI:1913963" 10097 66713 289820 "ACTR2" "Actr2" "Actr2" "Postsynaptic" 15
"209" 209 "MGI:96103" 3098 15275 25058 "HK1" "Hk1" "Hk1" "Postsynaptic" 16
"210" 210 "MGI:99638" 2011 13728 60328 "MARK2" "Mark2" "Mark2" "Postsynaptic" 15
"211" 211 "MGI:88407" 1152 12709 24264 "CKB" "Ckb" "Ckb" "Postsynaptic" 15
"212" 212 "MGI:1337006" 1404 12950 29331 "HAPLN1" "Hapln1" "Hapln1" "Postsynaptic" 15
"213" 213 "MGI:99523" 5052 18477 117254 "PRDX1" "Prdx1" "Prdx1" "Postsynaptic" 15
"214" 214 "MGI:1890149" 7170 59069 117557 "TPM3" "Tpm3" "Tpm3" "Postsynaptic" 15
"215" 215 "MGI:1920692" 259217 73442 307997 "HSPA12A" "Hspa12a" "Hspa12a" "Postsynaptic" 15
"216" 216 "MGI:1915347" 140735 68097 140734 "DYNLL2" "Dynll2" "Dynll2" "Postsynaptic" 15
"217" 217 "MGI:98747" 7070 21838 24832 "THY1" "Thy1" "Thy1" "Postsynaptic" 15
"218" 218 "MGI:95613" 2554 14394 29705 "GABRA1" "Gabra1" "Gabra1" "Postsynaptic" 15
"219" 219 "MGI:1306775" 8803 20916 361071 "SUCLA2" "Sucla2" "Sucla2" "Postsynaptic" 16
"220" 220 "MGI:1930705" 112755 56216 24923 "STX1B" "Stx1b" "Stx1b" "Postsynaptic" 15
"221" 221 "MGI:109355" 6804 20907 116470 "STX1A" "Stx1a" "Stx1a" "Postsynaptic" 15
"222" 222 "MGI:1861457" 8655 56455 58945 "DYNLL1" "Dynll1" "Dynll1" "Postsynaptic" 15
"223" 223 "MGI:2151013" 23085 111173 266806 "ERC1" "Erc1" "Erc1" "Postsynaptic" 15
"224" 224 "MGI:1096368" 162 11764 29663 "AP1B1" "Ap1b1" "Ap1b1" "Postsynaptic" 15
"225" 225 "MGI:1270129" 3301 15502 65028 "DNAJA1" "Dnaja1" "Dnaja1" "Postsynaptic" 15
"226" 226 "MGI:1926784" 29114 56370 63837 "TAGLN3" "Tagln3" "Tagln3" "Postsynaptic" 15
"227" 227 "MGI:2659021" 221692 218194 306844 "PHACTR1" "Phactr1" "Phactr1" "Postsynaptic" 15
"228" 228 "MGI:97843" 5864 19339 25531 "RAB3A" "Rab3a" "Rab3a" "Postsynaptic" 16
"229" 229 "MGI:3044626" 57596 380785 79146 "BEGAIN" "Begain" "Begain" "Postsynaptic" 16
"230" 230 "MGI:97281" 4684 17967 24586 "NCAM1" "Ncam1" "Ncam1" "Postsynaptic" 15
"231" 231 "MGI:96242" 3329 15510 63868 "HSPD1" "Hspd1" "Hspd1" "Postsynaptic" 15
"232" 232 "MGI:1924574" 8470 234214 114901 "SORBS2" "Sorbs2" "Sorbs2" "Postsynaptic" 15
"233" 233 "MGI:2681835" 57555 216856 117096 "NLGN2" "Nlgn2" "Nlgn2" "Postsynaptic" 16
"234" 234 "MGI:1345635" 5093 23983 500242 "PCBP1" "Pcbp1" "Pcbp1" "Postsynaptic" 15
"235" 235 "MGI:2386030" 9568 242425 83633 "GABBR2" "Gabbr2" "Gabbr2" "Postsynaptic" 15
"236" 236 "MGI:1862037" 57468 57138 171373 "SLC12A5" "Slc12a5" "Slc12a5" "Postsynaptic" 15
"237" 237 "MGI:97613" 23236 18795 24654 "PLCB1" "Plcb1" "Plcb1" "Postsynaptic" 15
"238" 238 "MGI:2384296" 79012 235604 79011 "CAMKV" "Camkv" "Camkv" "Postsynaptic" 15
"239" 239 "MGI:98759" 7082 21872 292994 "TJP1" "Tjp1" "Tjp1" "Postsynaptic" 15
"240" 240 "MGI:88295" 781 12293 25399 "CACNA2D1" "Cacna2d1" "Cacna2d1" "Postsynaptic" 15
"241" 241 "MGI:1861437" 2932 56637 84027 "GSK3B" "Gsk3b" "Gsk3b" "Postsynaptic" 15
