alg,C,Cn,Crob,CrobScaled
wt,75,2,0,0
wt,76,2,0,0
wt,77,4,0.3333,0.6667
wt,78,5,0.12,0.24
wt,79,2,0.5,1
wt,80,3,0.06667,0.1333
wt,81,4,0.2417,0.4833
wt,82,5,0.04,0.08
wt,83,2,0,0
wt,84,3,0.08333,0.1667
wt,85,3,0,0
wt,86,5,0.04,0.08
wt,87,3,0.08333,0.1667
wt,88,2,0.5,1
wt,89,2,0,0
wt,90,3,0.3167,0.6333
wt,91,2,0.25,0.5
wt,92,2,0,0
wt,93,2,0,0
wt,94,3,0,0
wt,95,2,0.4,0.8
wt,96,2,0,0
wt,97,8,0.1518,0.3036
wt,98,3,0.2667,0.5333
wt,99,4,0.08333,0.1667
wt,100,2,0,0
wt,101,2,0,0
wt,102,20,0.09965,0.1993
wt,103,2,0.2,0.4
wt,104,3,0.4444,0.8889
wt,105,3,0.08333,0.1667
wt,106,2,0,0
wt,107,2,0,0
wt,108,2,0,0
wt,109,3,0.15,0.3
wt,110,4,0.2667,0.5333
wt,111,5,0.025,0.05
wt,112,3,0,0
wt,113,2,0.2,0.4
wt,114,3,0,0
wt,115,3,0.2667,0.5333
wt,116,2,0,0
wt,117,3,0.2333,0.4667
wt,118,3,0,0
wt,119,2,0,0
wt,120,2,0,0
wt,121,4,0,0
wt,122,3,0.08333,0.1667
wt,123,4,0.1167,0.2333
wt,124,3,0,0
wt,125,2,0.4,0.8
wt,126,2,0,0
wt,127,2,0,0
wt,128,3,0,0
wt,129,3,0.06667,0.1333
wt,130,2,0,0
wt,131,3,0.1111,0.2222
wt,132,2,0.25,0.5
wt,133,2,0,0
wt,134,2,0,0
wt,135,2,0,0
wt,136,2,0,0
wt,137,2,0,0
wt,138,2,0,0
wt,139,2,0,0
wt,140,2,0,0
wt,141,3,0,0
wt,142,2,0,0
wt,143,2,0,0
wt,144,2,0,0
wt,145,2,0,0
wt,146,2,0,0
wt,147,2,0.25,0.5
wt,148,2,0,0
wt,149,2,0,0
wt,150,2,0,0
wt,151,3,0,0
wt,152,2,0,0
wt,153,2,0,0
wt,154,2,0,0
wt,155,2,0,0
wt,156,2,0,0
wt,157,2,0.2,0.4
wt,158,2,0,0
wt,159,2,0,0
wt,160,2,0,0
wt,161,2,0.25,0.5
wt,162,2,0,0
wt,163,5,0.145,0.29
wt,164,2,0,0
wt,165,2,0,0
wt,166,2,0,0
wt,167,2,0.25,0.5
wt,168,2,0,0
wt,169,2,0,0
wt,170,2,0,0
wt,171,2,0,0
wt,172,2,0,0
wt,173,2,0,0
wt,174,2,0.25,0.5
wt,175,2,0.2,0.4
wt,176,2,0,0
wt,177,2,0,0
wt,178,2,0.25,0.5
wt,179,2,0,0
wt,180,2,0,0
wt,181,2,0,0
wt,182,2,0,0
wt,183,2,0,0
wt,184,1,0,0
wt,185,1,0,0
wt,186,1,0,0
wt,187,1,0,0
wt,188,1,0,0
wt,189,1,0,0
wt,190,1,0,0
wt,191,1,0,0
wt,192,1,0,0
wt,193,1,0,0
wt,194,1,0,0
wt,195,1,0,0
wt,196,1,0,0
wt,197,1,0,0
wt,198,1,0,0
wt,199,1,0,0
wt,200,1,0,0
wt,201,1,0,0
wt,202,1,0,0
wt,203,1,0,0
wt,204,1,0,0
wt,205,1,0,0
wt,206,1,0,0
wt,207,1,0,0
wt,208,1,0,0
wt,209,1,0,0
wt,210,1,0,0
wt,211,1,0,0
wt,212,1,0,0
wt,213,1,0,0
wt,214,1,0,0
wt,215,1,0,0
wt,216,1,0,0
wt,217,1,0,0
wt,218,1,0,0
wt,219,1,0,0
wt,220,1,0,0
wt,221,1,0,0
wt,222,1,0,0
wt,223,1,0,0
wt,224,1,0,0
wt,225,1,0,0
wt,226,1,0,0
wt,227,1,0,0
wt,228,1,0,0
wt,229,1,0,0
wt,230,1,0,0
wt,231,1,0,0
wt,232,1,0,0
wt,233,1,0,0
wt,234,1,0,0
wt,235,1,0,0
wt,236,1,0,0
wt,237,1,0,0
wt,238,1,0,0
wt,239,1,0,0
wt,240,1,0,0
wt,241,1,0,0
wt,242,1,0,0
wt,243,1,0,0
wt,244,1,0,0
wt,245,1,0,0
wt,246,1,0,0
wt,247,1,0,0
wt,248,1,0,0
wt,249,1,0,0
wt,250,1,0,0
wt,251,1,0,0
wt,252,1,0,0
wt,253,1,0,0
wt,254,1,0,0
wt,255,1,0,0
wt,256,1,0,0
wt,257,1,0,0
wt,258,1,0,0
wt,259,1,0,0
wt,260,1,0,0
wt,261,1,0,0
wt,262,1,0,0
wt,263,1,0,0
wt,264,1,0,0
wt,265,1,0,0
wt,266,1,0,0
wt,267,1,0,0
wt,268,1,0,0
wt,269,1,0,0
wt,270,1,0,0
wt,271,1,0,0
wt,272,1,0,0
wt,273,1,0,0
wt,274,1,0,0
wt,275,1,0,0
wt,276,1,0,0
wt,277,1,0,0
wt,278,1,0,0
wt,279,1,0,0
wt,280,1,0,0
wt,281,1,0,0
wt,282,1,0,0
wt,283,1,0,0
wt,284,1,0,0
wt,285,1,0,0
wt,286,1,0,0
wt,287,1,0,0
wt,288,1,0,0
wt,289,1,0,0
wt,290,1,0,0
wt,291,1,0,0
wt,292,1,0,0
wt,293,1,0,0
wt,294,1,0,0
wt,295,1,0,0
wt,296,1,0,0
wt,297,1,0,0
wt,298,1,0,0
wt,299,1,0,0
wt,300,1,0,0
wt,301,1,0,0
wt,302,1,0,0
wt,303,1,0,0
wt,304,1,0,0
wt,305,1,0,0
wt,306,1,0,0
wt,307,1,0,0
wt,308,1,0,0
wt,309,1,0,0
wt,310,1,0,0
wt,311,1,0,0
wt,312,1,0,0
wt,313,1,0,0
wt,314,1,0,0
wt,315,1,0,0
wt,316,1,0,0
wt,317,1,0,0
wt,318,1,0,0
wt,319,1,0,0
wt,320,1,0,0
wt,321,1,0,0
wt,322,1,0,0
wt,323,1,0,0
wt,324,1,0,0
wt,325,1,0,0
wt,326,1,0,0
wt,327,1,0,0
wt,328,1,0,0
wt,329,1,0,0
wt,330,1,0,0
wt,331,1,0,0
wt,332,1,0,0
wt,333,1,0,0
wt,334,1,0,0
wt,335,1,0,0
wt,336,1,0,0
wt,337,1,0,0
wt,338,1,0,0
wt,339,1,0,0
wt,340,1,0,0
wt,341,1,0,0
wt,342,1,0,0
wt,343,1,0,0
wt,344,1,0,0
wt,345,1,0,0
wt,346,1,0,0
wt,347,1,0,0
wt,348,1,0,0
wt,349,1,0,0
wt,350,1,0,0
wt,351,1,0,0
wt,352,1,0,0
wt,353,1,0,0
wt,354,1,0,0
wt,355,1,0,0
wt,356,1,0,0
wt,357,1,0,0
wt,358,1,0,0
wt,359,1,0,0
wt,360,1,0,0
wt,361,1,0,0
wt,362,1,0,0
wt,363,1,0,0
wt,364,1,0,0
wt,365,1,0,0
wt,366,1,0,0
wt,367,1,0,0
wt,368,1,0,0
wt,369,1,0,0
wt,370,1,0,0
wt,371,1,0,0
wt,372,1,0,0
wt,373,1,0,0
wt,374,1,0,0
wt,375,1,0,0
wt,376,1,0,0
wt,377,1,0,0
wt,378,1,0,0
wt,379,1,0,0
wt,380,1,0,0
wt,381,1,0,0
wt,382,1,0,0
wt,383,1,0,0
wt,384,1,0,0
wt,385,1,0,0
wt,386,1,0,0
wt,387,1,0,0
wt,388,1,0,0
wt,389,1,0,0
wt,390,1,0,0
wt,391,1,0,0
wt,392,1,0,0
wt,393,1,0,0
wt,394,1,0,0
wt,395,1,0,0
wt,396,1,0,0
wt,397,1,0,0
wt,398,1,0,0
wt,399,1,0,0
wt,400,1,0,0
wt,401,1,0,0
wt,402,1,0,0
wt,403,1,0,0
wt,404,1,0,0
wt,405,1,0,0
wt,406,1,0,0
wt,407,1,0,0
wt,408,1,0,0
wt,409,1,0,0
wt,410,1,0,0
wt,411,1,0,0
wt,412,1,0,0
wt,413,1,0,0
wt,414,1,0,0
wt,415,1,0,0
wt,416,1,0,0
wt,417,1,0,0
wt,418,1,0,0
wt,419,1,0,0
wt,420,1,0,0
wt,421,1,0,0
wt,422,1,0,0
wt,423,1,0,0
wt,424,1,0,0
wt,425,1,0,0
wt,426,1,0,0
wt,427,1,0,0
wt,428,1,0,0
wt,429,1,0,0
wt,430,1,0,0
wt,431,1,0,0
wt,432,1,0,0
wt,433,1,0,0
wt,434,1,0,0
wt,435,1,0,0
wt,436,1,0,0
wt,437,1,0,0
wt,438,1,0,0
wt,439,1,0,0
wt,440,1,0,0
wt,441,1,0,0
wt,442,1,0,0
wt,443,1,0,0
wt,444,1,0,0
wt,445,1,0,0
wt,446,1,0,0
wt,447,1,0,0
wt,448,1,0,0
wt,449,1,0,0
wt,450,1,0,0
wt,451,1,0,0
wt,452,1,0,0
wt,453,1,0,0
wt,454,1,0,0
wt,455,1,0,0
wt,456,1,0,0
wt,457,1,0,0
wt,458,1,0,0
wt,459,1,0,0
wt,460,1,0,0
wt,461,1,0,0
wt,462,1,0,0
wt,463,1,0,0
wt,464,1,0,0
wt,465,1,0,0
wt,466,1,0,0
wt,467,1,0,0
wt,468,1,0,0
wt,469,1,0,0
wt,470,1,0,0
wt,471,1,0,0
wt,472,1,0,0
wt,473,1,0,0
wt,474,1,0,0
wt,475,1,0,0
wt,476,1,0,0
wt,477,1,0,0
wt,478,1,0,0
wt,479,1,0,0
wt,480,1,0,0
wt,481,1,0,0
wt,482,1,0,0
wt,483,1,0,0
wt,484,1,0,0
wt,485,1,0,0
wt,486,1,0,0
wt,487,1,0,0
wt,488,1,0,0
wt,489,1,0,0
wt,490,1,0,0
wt,491,1,0,0
wt,492,1,0,0
wt,493,1,0,0
wt,494,1,0,0
wt,495,1,0,0
wt,496,1,0,0
wt,497,1,0,0
wt,498,1,0,0
wt,499,1,0,0
wt,500,1,0,0
wt,501,1,0,0
wt,502,1,0,0
wt,503,1,0,0
wt,504,1,0,0
wt,505,1,0,0
wt,506,1,0,0
wt,507,1,0,0
wt,508,1,0,0
wt,509,1,0,0
wt,510,1,0,0
wt,511,1,0,0
wt,512,1,0,0
wt,513,1,0,0
wt,514,1,0,0
wt,515,1,0,0
wt,516,1,0,0
wt,517,1,0,0
wt,518,1,0,0
wt,519,1,0,0
wt,520,1,0,0
wt,521,1,0,0
wt,522,1,0,0
wt,523,1,0,0
wt,524,1,0,0
wt,525,1,0,0
wt,526,1,0,0
wt,527,1,0,0
wt,528,1,0,0
wt,529,1,0,0
wt,530,1,0,0
wt,531,1,0,0
wt,532,1,0,0
wt,533,1,0,0
wt,534,1,0,0
wt,535,1,0,0
wt,536,1,0,0
wt,537,1,0,0
wt,538,1,0,0
wt,539,1,0,0
wt,540,1,0,0
wt,541,1,0,0
wt,542,1,0,0
wt,543,1,0,0
wt,544,1,0,0
wt,545,1,0,0
wt,546,1,0,0
wt,547,1,0,0
wt,548,1,0,0
wt,549,1,0,0
wt,550,1,0,0
wt,551,1,0,0
wt,552,1,0,0
wt,553,1,0,0
wt,554,1,0,0
wt,555,1,0,0
wt,556,1,0,0
wt,557,1,0,0
wt,558,1,0,0
wt,559,1,0,0
wt,560,1,0,0
wt,561,1,0,0
wt,562,1,0,0
wt,563,1,0,0
wt,564,1,0,0
wt,565,1,0,0
wt,566,1,0,0
wt,567,1,0,0
wt,568,1,0,0
wt,569,1,0,0
wt,570,1,0,0
wt,571,1,0,0
wt,572,1,0,0
wt,573,1,0,0
wt,574,1,0,0
wt,575,1,0,0
wt,576,1,0,0
wt,577,1,0,0
wt,578,1,0,0
wt,579,1,0,0
wt,580,1,0,0
wt,581,1,0,0
wt,582,1,0,0
wt,583,1,0,0
wt,584,1,0,0
wt,585,1,0,0
wt,586,1,0,0
wt,587,1,0,0
wt,588,1,0,0
wt,589,1,0,0
wt,590,1,0,0
wt,591,1,0,0
wt,592,1,0,0
wt,593,1,0,0
wt,594,1,0,0
wt,595,1,0,0
wt,596,1,0,0
wt,597,1,0,0
wt,598,1,0,0
wt,599,1,0,0
wt,600,1,0,0
wt,601,1,0,0
wt,602,1,0,0
wt,603,1,0,0
wt,604,1,0,0
wt,605,1,0,0
wt,606,1,0,0
wt,607,1,0,0
wt,608,1,0,0
wt,609,1,0,0
wt,610,1,0,0
wt,611,1,0,0
wt,612,1,0,0
wt,613,1,0,0
wt,614,1,0,0
wt,615,1,0,0
wt,616,1,0,0
wt,617,1,0,0
wt,618,1,0,0
wt,619,1,0,0
wt,620,1,0,0
wt,621,1,0,0
wt,622,1,0,0
wt,623,1,0,0
wt,624,1,0,0
wt,625,1,0,0
wt,626,1,0,0
wt,627,1,0,0
wt,628,1,0,0
wt,629,1,0,0
wt,630,1,0,0
wt,631,1,0,0
wt,632,1,0,0
wt,633,1,0,0
wt,634,1,0,0
wt,635,1,0,0
wt,636,1,0,0
wt,637,1,0,0
wt,638,1,0,0
wt,639,1,0,0
wt,640,1,0,0
wt,641,1,0,0
wt,642,1,0,0
wt,643,1,0,0
wt,644,1,0,0
wt,645,1,0,0
wt,646,1,0,0
wt,647,1,0,0
wt,648,1,0,0
wt,649,1,0,0
wt,650,1,0,0
wt,651,1,0,0
wt,652,1,0,0
wt,653,1,0,0
wt,654,1,0,0
wt,655,1,0,0
wt,656,1,0,0
wt,657,1,0,0
wt,658,1,0,0
wt,659,1,0,0
wt,660,1,0,0
wt,661,1,0,0
wt,662,1,0,0
wt,663,1,0,0
wt,664,1,0,0
wt,665,1,0,0
wt,666,1,0,0
wt,667,1,0,0
wt,668,1,0,0
wt,669,1,0,0
wt,670,1,0,0
wt,671,1,0,0
wt,672,1,0,0
wt,673,1,0,0
wt,674,1,0,0
wt,675,1,0,0
wt,676,1,0,0
wt,677,1,0,0
wt,678,1,0,0
wt,679,1,0,0
wt,680,1,0,0
wt,681,1,0,0
wt,682,1,0,0
wt,683,1,0,0
wt,684,1,0,0
wt,685,1,0,0
wt,686,1,0,0
wt,687,1,0,0
wt,688,1,0,0
wt,689,1,0,0
wt,690,1,0,0
wt,691,1,0,0
wt,692,1,0,0
wt,693,1,0,0
wt,694,1,0,0
wt,695,1,0,0
wt,696,1,0,0
wt,697,1,0,0
wt,698,1,0,0
wt,699,1,0,0
wt,700,1,0,0
wt,701,1,0,0
wt,702,1,0,0
wt,703,1,0,0
wt,704,1,0,0
wt,705,1,0,0
wt,706,1,0,0
wt,707,1,0,0
wt,708,1,0,0
wt,709,1,0,0
wt,710,1,0,0
wt,711,1,0,0
wt,712,1,0,0
wt,713,1,0,0
wt,714,1,0,0
wt,715,1,0,0
wt,716,1,0,0
wt,717,1,0,0
wt,718,1,0,0
wt,719,1,0,0
wt,720,1,0,0
wt,721,1,0,0
wt,722,1,0,0
wt,723,1,0,0
wt,724,1,0,0
wt,725,1,0,0
wt,726,1,0,0
wt,727,1,0,0
wt,728,1,0,0
wt,729,1,0,0
wt,730,1,0,0
wt,731,1,0,0
wt,732,1,0,0
wt,733,1,0,0
wt,734,1,0,0
wt,735,1,0,0
wt,736,1,0,0
wt,737,1,0,0
wt,738,1,0,0
wt,739,1,0,0
wt,740,1,0,0
wt,741,1,0,0
wt,742,1,0,0
wt,743,1,0,0
wt,744,1,0,0
wt,745,1,0,0
wt,746,1,0,0
wt,747,1,0,0
wt,748,1,0,0
wt,749,1,0,0
wt,750,1,0,0
wt,751,1,0,0
wt,752,1,0,0
wt,753,1,0,0
wt,754,1,0,0
wt,755,1,0,0
wt,756,1,0,0
wt,757,1,0,0
wt,758,1,0,0
wt,759,1,0,0
wt,760,1,0,0
wt,761,1,0,0
wt,762,1,0,0
wt,763,1,0,0
wt,764,1,0,0
wt,765,1,0,0
wt,766,1,0,0
wt,767,1,0,0
wt,768,1,0,0
wt,769,1,0,0
wt,770,1,0,0
wt,771,1,0,0
wt,772,1,0,0
wt,773,1,0,0
wt,774,1,0,0
wt,775,1,0,0
wt,776,1,0,0
wt,777,1,0,0
wt,778,1,0,0
wt,779,1,0,0
wt,780,1,0,0
wt,781,1,0,0
wt,782,1,0,0
wt,783,1,0,0
wt,784,1,0,0
wt,785,1,0,0
wt,786,1,0,0
wt,787,1,0,0
wt,788,1,0,0
wt,789,1,0,0
wt,790,1,0,0
wt,791,1,0,0
wt,792,1,0,0
wt,793,1,0,0
wt,794,1,0,0
wt,795,1,0,0
wt,796,1,0,0
wt,797,1,0,0
wt,798,1,0,0
wt,799,1,0,0
wt,800,1,0,0
wt,801,1,0,0
wt,802,1,0,0
wt,803,1,0,0
wt,804,1,0,0
wt,805,1,0,0
wt,806,1,0,0
wt,807,1,0,0
wt,808,1,0,0
wt,809,1,0,0
wt,810,1,0,0
wt,811,1,0,0
wt,812,1,0,0
wt,813,1,0,0
wt,814,1,0,0
wt,815,1,0,0
wt,816,1,0,0
wt,817,1,0,0
wt,818,1,0,0
wt,819,1,0,0
wt,820,1,0,0
wt,821,1,0,0
wt,822,1,0,0
wt,823,1,0,0
wt,824,1,0,0
wt,825,1,0,0
wt,826,1,0,0
wt,827,1,0,0
wt,828,1,0,0
wt,829,1,0,0
wt,830,1,0,0
wt,831,1,0,0
wt,832,1,0,0
wt,833,1,0,0
wt,834,1,0,0
wt,835,1,0,0
wt,836,1,0,0
wt,837,1,0,0
wt,838,1,0,0
wt,839,1,0,0
wt,840,1,0,0
wt,841,1,0,0
wt,842,1,0,0
wt,843,1,0,0
wt,844,1,0,0
wt,845,1,0,0
wt,846,1,0,0
wt,847,1,0,0
wt,848,1,0,0
wt,849,1,0,0
wt,850,1,0,0
wt,851,1,0,0
wt,852,1,0,0
wt,853,1,0,0
wt,854,1,0,0
wt,855,1,0,0
wt,856,1,0,0
wt,857,1,0,0
wt,858,1,0,0
wt,859,1,0,0
wt,860,1,0,0
wt,861,1,0,0
wt,862,1,0,0
